n,score,ratio,iterations,moves
75,180,"2.40",82500,"ccrcrtcrcrcrrttrccccrrrcccrrrccccrccrrcrcrcrcrrrrrrcrcccrrrcrcrtrccrccrcrrcrrrrccrrrtcrrcrrcrcrtrrtcccrrrrcrrrrrccrrcrtrrccrrcccrrrccrrccrccrrccrrrrcrccrcrrcrcrtrrrrrcrcrtrrtrrrrrrrrccrrtrrcrcrtrrtrrrrtrtrrrcrrrrcrtrtrrttrtrrtrtrtrrrrrtrrtrttrrttrrrttrrttttrtttrrtrrttrtrtttrrrrtttrrttrrtrttrrttrrrrttrttrttrrtrrrtttrttrttrrttrttt"
76,160,"2.11",78000,"ccccrcrcccrccrrrrrrtcccrcrrcrccrrrtrcrtrccrcrrrrcccrcrrccccrccrcrrrrcccrccrcrrcrcrcrrcrcrrccrccrrcrrcrcrrrcrccrcrcrccrrrrcrtcrrccccccrrrrrrtrrrcrcrrcccrrrrtrrcrtrcrrcrcrcrrttrrrrcrtrtrrrrrrrrrtrrttttrtttrrtttrrrrtrrtttrrrrrtrtrrttrrtttrrrtrrrrrttrrttttttttrrrttrtttttrrrtrrrrrttttrttrrttrtrtrtrtrttttrtrttttrtrtt"
77,178,"2.31",83000,"ctccrcccccrrrrcrcccccrcrrrrcrcrcrrrccrrcrtcrrrcrrccrrtrcrcrtrrcrcccccrccrccrcrrcrrrrrcrrrrcrrcrcrrrcrcrtrrrcrtcrrcrcrrcrccrcrcrcrccrrrtccrrcccrccrrcrrrccrrrcrrcrrccrrcrcrtrrrtrcrcrrrrrrrtrrrrrrrcrtrrtrtrrcrtrtrtrrtrtrtrrrrrttrttrtrrrrttrtttrrtrtrtrrttrrrttrrttttttrtrtrrttrrttrtrtrrrtrrrrrrrrtttttrttrttrtrrrttrtttrtttrrrtrrttrttttt"
78,179,"2.29",83750,"ccrccrccrrrcrtcrcccrccccrrcccrcrcrrcrcccrrrrccrcrcrrcrrccrcrccrrccrcrcrcccrcrrrcrrrrrcrrrrcrccrrcccrccrrrrtrrrcrcrtrcrrcrrrrttrcrcrtrrcrcrtcrrrrrrcrcccrrrcccrrrcrtrrrrccrccrrrtrrrrcrcrtrrrrcrcrtrrtrrrtrrrrcrtrrttrrrrtrrrtttttrtrttrrrrttttrtrrrrrtttrttrrrrrttttrtrrttttrrrtrrrrrtrrttrtrrttrttrrttttrrttrtrttrrtrrtrttrrtrtttrrttrttrttrtt"
79,176,"2.23",83500,"ctcccrrcrcrtrrcrccccccrcrrrccrrrrccrrccrcrcccrrrcccrrcrrrrtccrrrrcccccccrrrcrccrrcrrrccrrrrccrrccrrrttrrrrcrccrrcrtrcrrrtrrcrtccrrcrrrcrcrccrrrccrrrrcrtrrtcrcrccrrcrrrtrtrrcrtrtcrcccrrrrcrtrcrcrrrtccrrtrrrrrrrrcrtrtrrrrrrrtttrtrttrrtrtttrrrrrttrrrrtrrtrtrrrrtrtrtttrtttrttrrttrttrtrrrttttrrtrtttttrttrttrtrtrtrrttrtrrrrrrttrtrtttttrtt"
80,187,"2.34",86750,"ccccrrrcrtrtcrccrrcrrtcccrrcrcrccrrccccrrrrccccrrrcrrrrttccrrrrccccrcrrcrrrcrrccrrtrccrrtrrcrccrccrrrrrrttrtrrcrrcrrrrrcrtcrcccrrrrrtccrcrcrccrrrtrrcrccrrcrtrrcrrrtrcrrccrcrcrcrrccrrtrccrrrcrcrtrrrrrrcrrccrrtrcrrtrccrrtrtrrrrrrrrcrtrrtrttrtrrrttrrtrrtrrttttrrrtrrttrtttrrttrttrtrrtrrrrrttrtrttrrrrttttrttrrtrrttttrtrrrrrrrtttttrttrttrttrtrrttrtrtt"
81,187,"2.31",87250,"cccrrccrrtcrrcrccrcrrtcccccrcrrrrcccccrrcrrcrccrrcrrrrrcrcccrrrcccrrrrrttrrtcrtccrrrtrrrcrrtrrrcrccrccccrrrrcrrtrccrcrccrrcrrrcccrrrcrtcrccrcrccrrrrrrtcrcrrrrtccrrcrrcrccrrcrtrrrcrcrrcrtrrrccrrccrcrcrrtrrtrtrrrrrrrrtrrrcrrtrrcrtrrttrtrrtrrttrtrrrrtrrtrttrrtrttrtrtttrrrrrtrrrttrtrtrtttrrrrtttrtttrrtrttrrttrrrtttrttttrrttrtrrtrrtttrtrtrtrrttrrrttttt"
82,193,"2.35",89250,"ccrccccccrrrcrrccccrrrrcrccrcrrrcrrcrtcrcrrrtcrtcccrrrrcrrrtccrrccrrcrccrcrrrrcrccrrrcrrtrcrrtrtrtccrccccccrrrcrrrccrrrcrrtrrtcrrcrcrrcrcrcrccccrrcrrrcrcrrcrcccrrrtcrrrcrrtrtcccrcrcrcrrrtrccrrrrrrrrrrrrrtrrcrrcrtrtrrtrrrrrrcrtrrrrrcrtrtrtrrtrtrttrtrrrttrrttrtrrrtttrrtrrttrrrrtrrtrrrttrrtrtrrtrtrtttrttttttrtrtrtrrtrrtrtttrtrtrrtrrtrtttrrtrtrrrrtttttrttrttt"
83,205,"2.47",92750,"cccccrrcrcccccrrcrcrrcrccrcrcrrrccrrrrrcrtrccrcrrcrtrcrcrcrcrrcrrtrcrrrtrtccrrcrcrtrrrccccrcrrrcccrrcrrrtccrcrrrcrcrcrrccrcrrcrrrcrcrcrcrrtcrrrrtrcrrcrccrrrcrtrrcrtrtrccrrrcrcccrrrrrtrrtrtrrcrcrrrccrrcrcrtrcrrrcrtrcrrtrrrtcrrrrrrrrrcrtrtrrrrtrrrrrrrcrtrtrtrtrtrtrtrtrtrrrrtrrrrrrttrttrrrtrtrrtttrrtrtttrrttttttrrttttrrtrtrtrtrtrrtrtrrrrttrrttrtttrtrttrrtrtrrrrttrrttttttt"
84,201,"2.39",92250,"cccrrcrtrccrrtccrcrcrrrcrccrrcrrccrccccrcrrcrrrcrrtrcrcrtrccrrrrcrrrcrcrrcrcrcrcrcrtrrrrcrrrrcrccrrcrtrrcrrtrrcrrrcccrrrtcrrtrtrcrccrrrtcrrccrccrrcrcrccrrccrrrcrrrrrtrccccrrrrrccrcrrtcrrcrtrccrrcrrrcrrrtrrrccccrcrrrrrcrccrrcrtrrrtrrrtrrtrrcrtrtrtrtrrtrrrttrttrtrrrtrtrrrtrtrtrtttrrrrrtrrttttrrrrtrrtrttttrtttrrrrrrttrttttrttrtttrrtrtrttrrrrrrtttttrttttrrtrtrrtttrtrrttt"
85,185,"2.18",88750,"cccccrrrccccrrrrcrrtccrcccrcrcccrcrrrrrcccrrrrccccrcrrrccccrrccccrcrcccccrrrrccrcrrrrrrcrccccrccrrcrrrrrrrtrrcrcrrrcrtrccrcrrrtccrcrrrtcrtrrcrccrcrrcrcrrrrcccrrrtrrccrrcrtrcrcccrrrrcrrcrtrtrrrrrrccrrrtrrrcrrcrtrtrrrtrrrtttrtrrtttrrtrttrrrtrtrrtttrtrrrrtrttrtrtrrrtttrrtrtrtrttrrttttrtrtrrrttrtttrrtrtrrtrrrrrrrtttrrrtttttrrtttttrrtrttrrrrrttttrtrttrttrttt"
86,199,"2.31",92750,"cccrcrcrcrrttcrrrrcccrccrrrccrrrcrtrcrcrrtcrcrcrrccrrtcrcrrrccrrtcrccrrccrrcrcccrrcrrrcccrcrrcrrcrcrcccrrcrrccrrccrrrttrccrrccrrcccrrrcrrrrrccrrrrcrccrcrrrcrcrrrrccrrccrrrcrcrrrrtrrcrcrtcrrrtrcrrccrrtrccrrtrrrcrcrrcrrcrtrtrrrtrrrtrrrcrtrrtrtrrrtrrrrrrttttrrrrrrrtttrttrtttrrtrtttrrrrtrrttttrtrtrrrtrtttrrrrrrttrttrttrttrtrtttrtttrrtttttrrttrrttrtrtrrrrrtrttrtrrttrttttrtt"
87,203,"2.33",94250,"ctcccccrcrrrcrcrcccccrccrrcrrccrcrrcrcrcrrrcrcrcrrrccrrtccrrccrrrtcrrrcrcrrccrrcccccrrrccccrrcrcrccrrrrrcrcrrcrrcrtrccccccrrrrrrrcrtrcrrccrrccrcrrrcrcrtrrtrrcrrtcrrrrrrrrrcrcrcrtrrccrrrrrrtcrccrrrrrrrcrtrrtrrrrrcrtcrrrrrccrccrrrtrtrrcrtrtrrtrrrrtttrtrtrtrrtrtrtrrrrrttrttrtttrrrtrtrrrttrrrrtrrtrtrttrtrrrrtrttttrttttrtrtrrtrtrtrtrttrtrtrrrrttrrrtttrttttrrtrttrtttrtttrttrrttrtt"
88,213,"2.42",97250,"cccrccrrrccrrtrtcccrcrrrrrtcrccrrcrtrcrccrcrrrrrcrcrtcrcrccrrccrrcrrcrrcccccrrccrcrrrcrrrtcrrrrrtcrtrcrrtrrttcrtrrccrrrcccrrrcrrcccrcrcrrrtrrrccrcccrrrrcrrccrrrccrcrcrrtrcrcrcrtcrcrrcrrrcrrrtrcrccrrrrcrcrtrrrccrrcrrccrrrcrcrtrrcrccrrtrrrrtrrrrrrrrrrtrrrrrcrtrtrtrrttrrttrtrtrrrtrrtrrtrttrrtttttrrrtrttrttrrtrttrtrrtrrrttttrrrrrttrtrttrrrtrrttrrrrrttttrtrrtrrttttttrttrttrrttrtrrttrrttrtrtt"
89,206,"2.31",96000,"ccrcrtcrcrrtccrrtrrtccrrcrtrrcrtrcrrcrcrtrcrccrcrcrcrcrrcccrcrrccrcrcrcrcrcrccrccrrrrccrrcrccrrrcrcrcccrcccrrrcrrrcrcrrtcrrcrcrrrrcrcrcrtrrrcrcrtcrrrcccrrcrrrcccrrrcrtrrrcrtrcrrrcrrcrtrrrcccrrrccrrrrcrccrrcrrrrcrrrrccrcrrcrtrrcrtrrtrrrrrrcrtrtrtrtrtrtrrrrrrrrtrrtttrrrrrrrtttttttrrttrttrtttrttrtrtrrrrrtrrrttrtrtttrtrrrtrtrrrtrtrrrrrrtrttrtrttrrtrtttrrtrtttttttrtrttrtttrttttrrrrttttt"
90,183,"2.03",90750,"ctccrcrtcrrcccrrcrrccccrccrcccccrcrrcrrccrccrcrcrrccrcccccrcrrcrrcrrrccccccccrrrrrcrcccrrcrrrrrrccrcccrcrrcrrccrrccrrcrrrcrrrrcrcrrrccrcrcrrcrccccccccrrrrrcrrrrrcrtrrcrrtccccrrrrcrrcrcrtrrtrrrrrrcrtrrttrtrrrrrrtrtrrrrttrrttrtrrrtrrtrrttttrrrrttrrrttttrrrttrtrrtrrtrrtttttrtrtrrrtrtrtrtrtttrrtrtttrrrrrttrrtrrttttrttrttttttrrrtttttrtrtrrtrtrtrtrttttrtrrtrtrttrtrtt"
91,182,"2.00",91000,"ctctctctctctctccccccrcrcccrrrrcrcccrcrcrrrrrcrrccrcccccrrcrcrcrrrrcccrrcrcrcrrrcrcrcrccrrcrcccrrcccrrrrtrrcrrrrccrcrrccrcrccrrccrrccrrcrrcrcrrrcrcccrcrcrccrrrcccrrrrtcrrrcccrrrccrrrrtrcrtrrrrtrrcrccrrrcrtrtrrrtrrcrtrrttrrtrrtrrrttttrrtrrrrrrrttrtrtrrrrtrtttttrrrrtrtttttrrrrrtrtrtrrrttrtrrtrttrtrtttrrtttrrrrrrtttrttrttrtttttrtrrrtrrrrttttrttrtrtttrtrttrtttrtrrttt"
92,203,"2.21",96750,"ccrcrtccrrrcrtccrrrcccrrcrcrrtcrcrcrrcccrcrrrrcrtccrrcrcrrrttrcrrcrrtrcrcrcrcrcrtrrrcrccrrccccrrcrrrrcrccrcrcccrcrcrcrrccrrcrcrrcrcrrrtcrrcrrrrrrrccrrrtcrcccccrrrcrrcrcrrcccrccrrrcrrccrrcrrtcrtccrrrrcrrccrrrcrcrrcrrcrrcrcrcrtrrrrcrtrrtrtrtrrrrtrrtttrrrtrtttttrrtrrrrtrrrrtrtrtttrttrtrrtrttttrrrrrtttrrrrtrrrrtttttrttttttttrrrrttrrtrrrrrrtrrtrtrtttttrrrrtrrttrtttrrrttrtrtrtttrttttttrtrtt"
93,220,"2.37",101500,"ccccrcrrccccrrrrrttccrrcrrtrrcrtcrcrrtcccrrrrcrtrrrrcrcrcrtrrrrtcccrcrrrccrrcrrcrtccccrccrrrrrrtrrcrcrrccccrcrrrrrrrcccrrcccrrrrcrtcrrcrrcrcccccrrcrrrrtrcrrcrrrtrccrccrrrcrrccrccrrrcrcrcrcrrcrrcrtrcrccrrccrcrcrrtrcrcrrrrcrrtrrrrrrccrrrcrtrrcrtrtrcrrrrrrcrtrrrrcrtrrttrrrrtrrtttrrrrttrtrtrtrtrrttrttttrtrtrrtttrrrrrrrtrttrtrttrtttrrtrtrtrrtrtttttrrrrttrttrtrrrrttrttrtrtrtrtrrtrtrtrrrrttrrrtttttttrrttrrtttt"
94,219,"2.33",101750,"ccccrccrrcrrrtccrcrrtrcccrccrrrcrrtccrcrrcrccccrrcrcrcrrcrrrcccrrrccrrcccrrrrrrcrtrtcccrrrrrcrccrrtrrcrtrcrrcccrrcrcrrrtrrcrrrrcccccrrcccccrrrrrrccrrrrrcrcrcrtrrrtcrrcrrccrrtcrrrrrrrrccrrtrrcccrrrcrccrccrccrrrrccrrrcrtrtrrrrrrcrcrtrcrrcrcrtrrcrrrcrrtrrrcrtrtrtrrtrrrtrrrrtrttttttrrrtrttrrrttrrtrttrrrtrtrttrrrtrttttrrrtrtttttrrrrtrrtrrtrttrtrtrtrttrttrrtrttttrrtttrrrttrrrtrttrtrrrttrrttrttrrtttrrrrtttrtttt"
95,210,"2.21",100000,"ccccrrcrcrrcrtcrrcrtccrccrrrrrrcccrcrrrrcrcrcccrccrccrrccrcrcrrrcrccccrcrrrcrrrrcrtcrrrrrcrrcrtccrrcrcrrccccccrrccccrrrcrcrcrcrcrrrccrcrrccrcrrrccrrrrccrcrrcrtrrrrrccrrrcrrcrcrtrcrrrccrcrrccrrcrtrcrrcrcrrrccrrrcrcrtrrtrcrrcrcrrtrrcrtrtrrttrrrrrrrrtrrtttrrrtrtrrtrrrrttrrrttrttrrrtttttrrtrtrrttttrttrtrrrrtrttttrrtrrtrrrtrrtrttrrrrrrtrtrtttttttrrtttrrtttrttrrrttttrtttrrtttrrrrrtttrrrttttttrrrttrttttt"
96,231,"2.41",105750,"ctccrccrccrrrtccrcccrrrcccrrrcrrrtcrtrrcrccrrrccrccrcccrrrrrcrcrcrcrtrrrrrcrtccrrcccrcrcrrccrcrcrrrrcrcccrrrcrrcrcrrrrttrrrrrtcrtrrcrtcrcrcrrrtcrtrcrrrrtrtccrcrrcccrrrtrrrtrtcrrccrrtcrrcrrrrcrcrccccrrcrrrrcrtrtcrcrrrrrrrrrrrrcrtrcrtrrccrrcrrrcrcrcrcrcrcrcrccrrcrcrcrtrrrrrrrrrrrtrrcrtrrttrrrrrrtrtrttrrrtrttrrtrrrttttrrrttttrtrrtrttrtrrtrtrrrrrtrrrrrttttttrrrtttrtrtttrrttttrtrtrrtrrtrtttrrtttrttrtttrtrtrtrtrtrtrtrrttrtrtt"
97,225,"2.32",104750,"ccrtcrcrtccccccrccccrcrcrrcrrcccrrrcrrcrrrrccccrrrcrrrrcrcrrccrrcccrcrrrtrcccrccccccrccccrrrrcrcrcrrrrcrrrrcrrcrrcrcrtcrcrrrcrcrcrrrrtrcrtrcccrcrrrrrtrtrtcrrrrcrtrccccrrrcrrcrtrrrcrrrcrrtrcrcrccrrcrrcrtrrrrcrcrccrrcrtcrrrrrcrtrrtrtcrrccrcrrrrrrrtrrrccrcrrtrrttrrtrrrtrrrrcrtrrtrttrtrrrrtrtrrrrrrrrttrtrrtttrrtrrttrtrrtrtrtrrrrrttrtrtrttttttttrtrrtttttttrtrrtttrtrrtrrrtrtrttttrtrrtrtrtrrttrtrrtrrrtrtrrttrttttrrtttrrttt"
98,224,"2.29",105000,"ccrcrcrtccrcrccrrrcrrcrcrrcrccccrrcrcrccrrcccccrccrcrcrcrrccrcrrrcccrcrrccccrrrcrccccrrrcrrrrrrrrrcccrrrcrtrcrrrrtrccrrcrrccrrcrrcrtrrrcrtccrrrrrcrrttrcccrrrtcrrrrtcrtrccrcrccrcrrrrrtrcrrrccrcrccrrcrrrtcrrcrcrcrcrrrccrrcrtrrrcrtrrcrrtrrrrccrrrcrtrrcrcrtrrtrrrtrtrrcrtrtrrrtrtrrtrrrttrrrrtttttrrtttrrtrrtttrrrtrtrtttrrtrtrtttrrrrrtrttttrrrrttrrrrrtrrrrttrtrrtrrtrttrrrtrrtrttttrrrtttrrttttrrrrtttrttttttttrrtttttrrttrtrtt"
99,234,"2.36",108000,"cccrcrccrcrrcrrcrcrtcrrrcrtrrcrccccccrrccrrrrccrcrccrrrrrrcrrcrrccrcrrtcrrcrcrcrtrrcrcrrcrcrcccrrcrrcrrrtrccrrcrrcccrcrrrrrcrcrtrrcrccrrccrrcrcrccrcrrcrtrrcrcrrrrccrccrrrccccrcrcrcccrrccrrccrrcrcrrrrrrrcrrcrcrtrrrcrrrrrcrcrtrrrcrrcrcrtrrcrrcrcrtrcrrtrrrrtrrtrrtrrtrtrrcrtrrttrrttrrrrtttrttrrrrrtrtrrrrrrrrttttrrrtrttttttrrtrttttrtttrrrtrrtttrrrrttrtrrrrttrrttrtrrrtrrrttttttrrttrttrtrtrrrrttttrrrrrtrttrttrtttttrtttrrttrtrrttrtrrttt"
100,225,"2.25",106250,"cccrrcrcrcrccrrccrrcrcrtcrrcrccrccrccrcccrcccrcrcrcrrcrccccrrccrrrcrrcrrcrcrrrcccrrcccrrccrrrrrccrrcrrrrrcrrrcrrrccrrcrtrrccrcrrcccrrccrrcrrrtcccrrrcrtrrrrcccrcrccrrrrrtrrtccrrrcrtrccrrrrcrcccrrrccrrcrcrrcrccrrtrrtrrrrrcrrrcrccrcccrrrrrcrtrtrrrrrrcrtrrttrtrrrttrrrrttrrrttrtrrrrttrrrrtrrrrttttttrrtrrtrttrttttttrrtrttrrtrttrttrtttrrrtrrrrtrrrrtttrrrtttrrrrtrttrtttrrtrtttrtrrrtttrttrtttrttrrtrrtrttrrttrtrtrtrtttrtrrrttrtrttt"
101,230,"2.28",108000,"ccrcrccrrccrcrrtrrcrrtccccrcrcrrrcrrtccrrcrrrccrccrrrtccrrrrcrrttrrrtttcccrccrrrrrccrcccccrrccccrrcrcrrrccrcrrrcccrcrcrrccrrcrrrrcrccrrccrcrrrrtrcrcrrcrrrtcrrtrrrcrcrcrcccccrrrccrrccccrrrrrcrrcrtrrcrrrcrrcrcrccrcrcrrtcrrcrrcrrrcrcrcrtrrcrrcrrcrcrtrrrrtrrrcrtrtrrrrtrrrrrcrtrtrrttrrttrrtrtrrttrttrrrrrrttrtrrtrrrtrttrtrrrtrttttrrtttrrrtrrrttttrttttrttrrtttrtrtrrtrtrrrrrrtrtrrtrrrtrrrtrtrttrttrtrtrttttttrrtrrtrrrrtttttttrrtrttttrttt"
