n,score,ratio,iterations,moves
37,87,"2.35",40250,"ccccrrrtcrtrccrrtcrrcrccccrcrcccrrccrrrcrrcrrccccrrccrrrrrcrrcrtrcrtrrrrcrrcrtrrcrrcrtrtrrtrrcrrtrrrcrtrrrtrrrrcrtrtrtrrrtrttrttrtrtrrrtrrtrttrttrrtrttrrtrtrtttt"
38,88,"2.32",41000,"cccrcrrccccrrccrrrccrcrccrrccrccrcrrccrrrrcrcrcrrcrtcrrcrrcrtcrrrcrcccrrrrcrcrtrrtrrrtrrrrrrrrcrtrrrcrtrrttrrttrrrrrrtttrttrrrttrrtttrttrtrtrtrrttrtrrttrtrrtrttrttt"
39,89,"2.28",41750,"cccrrcrtrtrcrcccrrcccrrrcrrcrtrrcrrttrtrccrrrcrrcrcrcrcrrcrtrcrcrcrrtcrtcrcrrrrccrccrrrrrrrrcrrcrrcrtcrrcrcrrcrtrtrrrrrrrtrrttrtttrrtrtrtrtrtrrtrtrtrrtttrrttrttttrtttt"
40,89,"2.22",42250,"ctccrcrccrrcccrrcrccrcrcrrrccrrcrccrrtrcrrcccrrrcrrccrrcrrccrrrrcrcrccrcrrtrrcrrtrtrrrttrrrrrccrrcrrcrtrrcrtrtrrrrtrrrrttttrrrrrttrrtrtttrtrtttrrttrtrrttrrtrtrrttttrtttt"
41,94,"2.29",44000,"ccrcrtrccrrcrtrrcrcrtcrrcccrcrcrrcrcrrrtccrcrrcccrrrccrcrrrrtcrtrtrrcrcrcccrrrrccrcrrrrcrtrrcrccrrtrcrrtrrrrrcrtrrrrcrtrtrtrtrrtrtrrrrrtttrrrrrtrttrrrttttttrtrttrrtttrtrrtrtttt"
42,101,"2.40",46250,"ccrccrrtcrccrcrccrrrrcrcrtrccrccrrrrcrtrrrcrrtcrtrrtrrcrrrtcrtrcrtrrrrttrcccrccrrrcrrrccrrrrccrrtrcrcrcrtrrcrrrrccrrcrcrrcrtrtrrrrrcrtrtrrrrtrrrttrtrttrrtrrttrtttrttrrttrrtrtttrrttrtrtt"
43,93,"2.16",44750,"cccrrtccrrcrtrrtcrtrcrcrcccccrrrrrrttrcrcrrcrrcrtrtrrtrrcrcrccrrccrrccrccrrrrcrtcrcrrrcrcrcccrrrtrcrrrcrrcrcrtrrcrcrrcrtrrttrrrrrrrrrrrrtrtrttttrttrttrrttrttrrtttrtrrtrtrttttrtttt"
44,104,"2.36",48000,"cccrcrcrcrrttrcrrcrcrccrrrccrccrccrcrrcrrrtrcrcrtrrrrccrrcrrrccrcrcrrcccrcccrrrrrcrcrtrrcrrrrcrcrrcrtrtrrrtcrrrcrtrrrrcrtrrrcrtrtrrrrttrrrttrrttttrttrrrttrtrrrrrrttttrrrtrrttrtrttrtttrrtrttttt"
45,95,"2.11",46250,"ccccrcrcccrccrrcrcccccrrrcccccrrrcrcrrrcccrrrcrrrrrcrccrrcrrrtttrrrrcrcrrttrrtrcrcccrrrrtrrcrrrcrtcrcrrccrcrrtrrrcrtrtrrrtrrtrrrrtrtrttrtrrrtrtrttttrtrtttrrrrtrrtttrtttrtrtttrrrtttrrttt"
46,96,"2.09",47000,"ctccrcccrrrcrtcrrcrccccrccrcrccrcrrrrrrrccrcrcccccrrrrrrtccrrrcrtrrrrrtrtcrtrrccrcrcrrtcrccrccrrrrtrccrrrtrccrrrcrtrrtrrcrtrtrrrrtttrrtttrrrrrrrrtttrtrtrtrttrtttrrtrrrrrtttttrrttrttrttrttt"
