n,score,ratio,iterations,moves
56,123,"2.20",117500,"ccrcccrccrcrrcrrccrcrcrrcccccrcrrcrrrcrrcrcccrrrcccrcrrrrtccrrcrrtcrtrrrrrcrcrcccrrcrrcrrccrrccrcrrrrccrcrrtcrrrrrcrcrccrrtrrrccrrtrrrrcrtrtrtrrtrrrrrttttrrrrrtrtrrtrrtttttrrrrrtrrtrttrrtrrtttrrttrttttrrtrttttrttrrtttrrrttttrrtrtrttrtt"
57,130,"2.28",122000,"ccrtcrcccrrrtccrrrccccrrcrrccrrrtccrrcccccccrrrrcrrcrcrccccrrrrrrcrrtcrrrtccrrccrcrrrcrtrcrtcrrcrcrrrrrttrrrrrcrrcrccrrtrrrccrcrrccrrrcrcrtrcrrrcrtrtrrrrtrrrrcrtrtrrrttrrtrrrrtrrtrtrtrtttttrtrtrttrtrtrrttrrrtttrrrtrttttrtrrtrttrrrtttrrttrrrtttt"
58,131,"2.26",123500,"cccrrccccccrcrrrrrcrrccrcrrccrrcrccrccrrrtcrrrrcrrcrrccccrrcrcrrrcrtccrcrrccrcrcrrccrrrrrccrcccrrrrcrcrcrtrrrrcrtrrrrcrrcrrcrccrrcrtrcrrrrcrtrrcrtrrtrrtttrrrrtrrrrrrtttrrttrtrrrttrttttrtrrrtrrrtrttttrrrtrrtttrrrttttrttrrrrttrtrttrtrtttttrtrrrttttt"
59,123,"2.08",120500,"ccccccrrcrrrrtttcrcrtrrrtrtcrccrccrrrcrtcrccrcccrcccccrcrrrcccrcrrrrcrrrrrrrccrcccrcrcrrrrrtrcrcrtcrrcccrrrrcrtrrccccrccrcrrrrcrrcrrtrrrcrcrcrtrrrtrrcrtrtrrrrttrrttrtrrttrrtrrtrtrrtttrtrrttttrrrrrttrtrrrttttrrrtrttrtrtttrrtrtrrttrrtttttrtrtt"
60,127,"2.12",123500,"ctccccccccrrrrccrrcrccccrcrcrccrrrrrrrcrcccccrrcrcccrrrcrcrrcrrrcccrcrrcrcccrrcrrrcccrrrcccrrrrcrtcccrcrcrrrrtrrrrrrtcrrtrrrrtrtrcrcrtcrrrrcrtrtrrrcrtrtrrtrrtrtrrrrttttrttrrtrrtrrtrrrrrtrtttrtrtttttrrrrtrrttttrrtrtttrrtrttrrtrttrtrtrrrtttttrrtrttt"
61,131,"2.15",126500,"ctccrcrcrtrrccrrtrcrcrccrrtccrrcrrrrcrccrccrrrrccrcrccrccccrrrrrrcrtcrcrcrrrtcrrccrrrcrcrcrccrrrrtccrrcccrrrtrcrrccrrrtrtcrcrrccrccrccrrrrrrcrcrccrrtrrrtrrcrtrtrrrtrrrrrrrrrtrrrrttrttrrrrrtttrrttrtrtrttrrrtttttrtttttrttrrrttrtrtttrttttrrttrrttrttrtrtrtt"
62,141,"2.27",132500,"cccccccccrcrcrrrrrrcrccrrcccrrccrccrrrrccrrccrrrccrrcrrcrcrccrrtccrcccrrrrccrccrrcrrrccrrrrcrcrcrcrcrtrrrrrrcrrrtrcrrcrrrrccrrrtrcrccrrtrcrrcrrcrcrtrrrtrtrrrcrtrtrtrtrrrrrtrrttrrrtrttrrttrttrrrttrrrttrrttrrtrrtrrtrrrttrrttrtrttrrrttrtttrttrtrtrtrtttttrttrrtrttttrtt"
63,139,"2.21",132500,"ctccrccrcrcrcccccrcrcrrrrrcrcrcrrtcrcrcrcccrrrcrrtcrtrcccrrrccrrrrrrrrrrrrrcrtcrrtcrcrcrccccrrrrrcrccrccrcrrcccrrrrcrtrcrrcrrcrrtrcrrtrccrcrccrrcrrtrcrcrrcrtrrrrcrtrtrtrtrrrrrrrtrtrtrtrtrtrrtrttrrrttrtrttrttrrrrrrrtttttrtrtrttrrtrrrrrttrrtttrtrtttttttrrrrtttrtttttt"
64,152,"2.38",140000,"cccrccccrrcrcccrcccrrrrrrrcrcrcrrccrcrrtrtrrrrcrrttrrcrtcrrrcrcrrrcrtrrcrtcrrtrrtcrrrcrrcrrcrtcrrrcrrccrcrccccrrrcrrrtrtrccrccrcrcrcrrccrrrrrtrccrrcrtcrrrtrrccrrrrcrcrrrrcrcrtrrcrrcrtrrtrrcrtrtrtrrrrtrrttrrrrrtrtrrtrttttrtrrrttrrrtrrrtttrrtrtrtttrrrttrrrrtttttrttrrttrttrttttrtttt"
65,142,"2.18",136000,"ctcccccrrcccrrrcrcrccrrcrrcrcccrcrcrrrrttcrrccrrrtccccrrrrrrrrcrccccrrrcrrrcrrtrttrrcrccrrcrccrcrrtrcrrcrcrrcrrcrcrrtcccrcrrrtrccrrrrccrrcrcrccrrrrcrcrrcrrcrcrtrrrtrrcrtrtrrtrrrtrrtrrrtttttrttrtrtrttrrrtrrrrrtrtrtttrtrrrrrrrtrrrrttrrtrrtttttttrtrrtrtrrtttrttrttttrtttttrtt"
66,149,"2.26",140500,"cccrcccrrcrcrccrrrccrccrrcccccrcrrcrrrcrcrcrrrrtcccrrrtrrrttrccrrrrrcrtrrcrcrtcrcrrcrcrrcrtcrrrcccrrcrrrcrtrrtrrccrrrccrrtrcrtcrrrrccccccrrcrrccrrcrrrrrcrrrcrrccrrcrcrtrrrtrrrcrtrtrrrrrrtrtrrtrrtttttttrrrtrttrrrrttrrrtrrrrtrrtttttrttrrtrttttrrttrrttrttrtrtrrrtrrtrtttrttttrtrrttrtt"
67,149,"2.22",141500,"ctctccrcccccrrccrrrrcrrcrcrccrrtrrrrcrcrcrtrccrrcrrrcccrcrcrrrccrrcrtrrrcrccrccrrcrccrrccrcrrrrrrcccrcrcrrcrccrccccrrcrcrcrrrrcrrcrcrtrrrrcccrrrtrrcrrcrtrcrrcrtrtrrrrrttrrrtrrcrtrrtrttrrrrrtrrrttrtttrrtrrrttttrrttttrrrrrttrtttrttrrtttrrrrrrtrrrtttttrrttrtrrrrtrttttttrttrrtrttrtrtrtt"
68,152,"2.24",144000,"ctcccrrcrtrtrccrcrcrrcrtcrrcrrttcrrrcrccccrcrccrrcrrrrrcrrcrtrcrtcccrrcrrcrrcrcrrrtcrrrcrrtrcrrcccrrccrrrcccrrcrrccccrrcrrrtrccrcrcrrccrrcrrrccccrcrrrcrrtrrrrttrrcrtrrcrrtrtrrrrcrcrtrrcrtrrtrrcrtrtrrtrrrrtrrrtrrtrrtrtttttttrrtrtrrrrtrttrttrrrrrrtrtttrtrrtrtttrrrttttrtttrrtrtrrttttttrrttt"
69,156,"2.26",147000,"ccrttcccrrccrcrrcrcccrrrtrrccrrcrrtrtccrrcrtrccccrcrcrrrcccccrrrrrrrrrcrrrccrrcrcrtrrcccrcrrrcrccrcrcccrrrrrtcrcrrccrrcrtrccrrcrrrrrcrcrccrcrcrrtcrrrrrcrtrrcrtccrrrtrrcrcrrrrcrcrtrrtrrtrrrcrtrtrtrrrtrtrrrttttrtrtrtrttrrrtrrrrrrrrttrttrtrrttttrrrtttrtrttttrrrrtttrtttrrrrtrtrrrrtttttrtrtrttttrtt"
70,160,"2.29",150000,"ccrcccccccrrrrrrrtrcccrrcccrcrrcrrrtcrrtcrrcrtrrccrcccrrrrtccrcrrrrtcccrrrrccrrtccccrcrrrcrccrrccccrrrrrrrtrtcrtcrrcrrrrrcrrrrtcccrrcrrcccrrcrrrcrtrcrtrrrccrrcrrrrccrrtcrcrrrrcrccrrtrrtrtrrtrrtrrtrtrrrrcrtrtrrtrttrrrtttrrrtrttrrrrttrrrrtrtrrttttrttrtrtrttrtttrtrrrrrrtrtttrrrtrtttrttrtttrrrrttttrtrtt"
71,156,"2.20",149000,"cccrcrccrrccccrrrcccrrrcrrrcrtcrcccrcrrcrrrccrcccrrrcccrcccrrrccccrrrcrcrrrccrcrcrrrrcrcrtrcrccrrrrrrccrrrccrrrcccrcrcrrrtrtrcrrcrcrtrrrrrttrcrrrcrrcrccrrcrtrrcccrrrcrrrcrtrrcrtrtrrrrrtrttrtrrrrrttrrtrrttttrrrrttrtrttrrtrrrttrtrttrrrtrtrttttrrrttttrrrtttrttrrttrrrrttrtrrrtttttrttttrrrtrrtttrtrtttt"
72,170,"2.36",157000,"cccrcrrtcrtccrrrcrcrrccrrccrrcccrrccrrcrcccccrrrrrrtcrcrrcrrrcrcrtcrrcrcrccccccrrrrrrrrrcrccrrrcrtcrrcccrrrrtcrrccrrtrcrtrrcrrrrrccrcrrcrrcrtrcrrtcrccrrrcrrrcrcrccccrrrrcrtrrrrcrcrcrtrrrrrrrttrrrrrrcrtrrttrrttrtrrtrtrtrttrtrtrtrrrrrrrtrttttrtrtrtrtrttrrrrrrrtrrttrrttrrtrttrrtrrttttrrtttttttrtttrrtrtrrtrtrtttrtrtt"
73,159,"2.18",152500,"ccrtcrcrccrrcrtccrcrccrrccrrrrccrrrrtccccccrcrccrrcrrccccccrrcrcrcrcrcrrcrcrrrcrcrrrccrcrcrrrrrcrtrcccccrcrrcrrccrcrrrrrtrrcrrcrcrcrtrrcrrcrtrcrccrrrrrtrrcrrrccrrccrrtrrcrcrtrrrtrrrcrtrtrrrttrrrttrrrtrtrrtrrtrrrrtttrtttrrrtrtrrrtrrrrrrtrtttttttttttrrrtttttrtrrtrrtrrttttrrtttrtrrrrrtrtttttrttrtrrrttrttrtt"
74,167,"2.26",157500,"cccccccrcrrrcrcrrcrcrrcrrcrtrcrcrcrtrrrrrcrccrrcrcrtcccrrccccrrrrrrrrcccrrcrcrrcrcrrccrrccrcrcrrrrrtrrccccrccrccrccrrrrrrrrtcrccccrrrrrtrrtcrcrccrrccrccrrcrcrccrrrtrrrrtrcrrcrrrccrrtrrtrtrtrrrrcrtrrtrtrttrrrrrtrrttrtrtrrtrttrtrtrttrrrtrttttttrrttrrrrttttrrrtrtrrttrrttrrttrttrrtrrrtrtrttrtrtrrttrrrrrttrttttrttttrtt"
75,180,"2.40",165000,"ccccrccrccrcrcccrccrrrcrrccrrcrrrcrrrtcrtrtrcrcrcrrcrcrrccrrcrtrrtrrcrcrccrrcccrrrcrcrccrrrccrrrrttcrrrrrcccrcrcccrcrrrccrcrrrrrttrtrcrrrcrtrccrrrcrrttrrcccrrrtrcccrcrrcrrcrcrtrrrrrrrcrtrrrrcrrcrcrcrtrrrtrrrcrtrrrrrrrrcrtrtrtrtrtrrrrrrrrrtrtrrtttttrttrtrttttrttrrttrtrrrrtrrrrtttrtrrtttrrtttrtrrtrrttrtrrtrttrrrtrrttttrtttrtrtrttt"
76,175,"2.30",163500,"ccrccccrcrrrccrcrrrcrtrrtccrccrcrrcrrccrccrrcrrcccrcrrccrcrrrtrrrccrrrcrcrcccrrcccrrrccrrrccccrcrrccrcccrrrrcrrrrcrcrtcrccrrrrrcrtcrrrcrrccrrtcrrcrccrrtrrrrtccrrrrrrrrrrrcccrrcrrcrtrrccrrtrrtrrrtrrrrcrtrtrrrtttrtrrrrrttrtttrrtrrtttrrtttrrttrrtrtrrrrtrttrtrttrttrrtrrrtrrtttrrttrtrtttrrtrrttrttrrttrrtrrrtttrtrttrttrrrrtrttttrtt"
77,178,"2.31",166000,"cccrcrcccrcrrrrttccccrrccrcrcrrcccrrccrrrcrrrrccrrrtcrcrcccccrrcrrrrtrcrrrcrrtcccrrrrccrrccrrrcrcrtrcrrrcrrcrcrtcrrrtcrrrtrcccrrcrcrrrrrrtrrccrrrrtcrrccrcrccccrrcrrrrtrtrcrcrccrcrrrrrcrcrrcrtrcrtrrrrcrtrcrrtrrrrrcrtrrttrrttrrtrrrrrttrtrrtrtrtrrtrtttttrtrttrrttrrttrrrrtttrtrrtrtttrrrtrttttrrttrrrrrtrrrtttrtrrtrtttttrrtttrrrtrtrtttt"
78,184,"2.36",170000,"cccrrccrccrccrrrrcrcrccccrcrrcrrccrrrtrcrcrrrccccrrrrccrrrtrttrrrcrrtcrtrrrccrccrrcrrrttrrtccrccrrrcccrrcccrrcrccrrrrccrcrrcrtccrrrrrccccrrccrrrrrrcrrcrrtrcrrcrcrrtrcrrcrtrrrtcrcccrrcrrcrrrtccrrcrtrrtrrrrtrcrrrrcrtrtrrrrtrrtrrrrcrtrrtrttrrttrrrrttrrrrttrtttrrrrttrttrrrtrttrrrtrtttrttrrrtttrtrttrtrrtrttrtttrtrtrtrtrrtrrtrtrrrtrtttrtrrttttt"
79,175,"2.22",166500,"ccrtcrcrtrcrtrcrccrcrrcrccrcrcrrtcrcrccccrrcrcrrcccrrrrcccrrrrccrcrrrccccccrcccrrccrrcrcrcrcrrcrrrrcrrrccrrcrcccrcccrccrcrrrrrrrrcrtcrccrcrrrcrtcrcrrrtrrrcrcrrcrrrcrcrrccrcrcrrcrtrrtrrrtrrrtrrrrrrrcrtrtrtrtrtrtrrrtrrrtrttttrtrttrrtrttrrrtttrrrrtrrtrtrtrrrttrrrrrrtrttrttttttttrrrrttrtrrtrrttrtrrttrrtttrrrttrrtttrrttttttrtrtrrrrttttt"
80,174,"2.18",167000,"ctcccrrcrtcrccrcccccrcrrcrrccrcccrcrrrrcrcrrrccrcrcccrrrrcccrccccccrrrrcrrcrrrrcrrrcrcrcrcrtcrrcrcrcrrrccrrccrcccrrcrrrrrcrtcccrcrcrcrcrcrrrrtrcrrrttrrrrrtcrtrrtrrrrcrcrcrcrtrccrrcrccrrrrrrcrrcrtrrrcrtrtrtrrrtrrrrttrtrrtttrtrtrrrrrtttrtrttrrtrrttrrtrrtrtrtrttttrtrrrrrtrtrrrrtrtttttrttrrttrrtrtttrtrtrrrrrrtttttttttrtrtrrrrttrtttrtttt"
81,183,"2.26",172500,"cccrccccrrrcrrrttcrcrccrccrccrcrrcrrcrcrrrcrtrcrtccrrrrcrccccrrrcrrrrrrcccrrccccrrcrcrrrrccrrcrcrtccrcrrrrrccrrrrcrcrtrrrcrtrcrtcrccrcrrrcrrccrrrrtccrrrtrtrrrccrrcrcrrcccrcrrrcrcrrccrcrrcrrcrcrrttrcrrrcrrrcrtrtrrrcrtrtrtrrrtrrrrtrrrrtrrrrrtrtrttrtrrrtrtrtttrrrrrrtrttrtrrrtrttttrrttrtrtrrtttrttrrrttrrtrrttrrttttrttrttrttttrtrrtttttrrttttrrttttt"
