n,score,ratio,iterations,moves
1,0,"0.00",1000,"ct"
2,1,"0.50",2500,"ccrtt"
3,3,"1.00",4500,"ccrcrtrtt"
4,5,"1.25",6500,"ccrcrcrtrrttt"
5,7,"1.40",8500,"cccrrcrcrtrrtrttt"
6,9,"1.50",10500,"cccccrrrrcrtrtrtrtrtt"
7,12,"1.71",13000,"cccrrccrrcrtrrcrtrrttrrttt"
8,15,"1.88",15500,"ccrccrcrrcrcrtrrrcrtrtrrrtttrtt"
9,16,"1.78",17000,"ccrcrcrtccrrcrrcrrcrtrtrrtrrtrtttt"
10,18,"1.80",19000,"ctcccrcrcrcrrccrrtrtrrrrcrtrtrtrtrtrtt"
11,24,"2.18",23000,"cccrccrrcrrcrcrtrrtrrcrrcrtrtrrrcrtrtrrtrttrtt"
12,25,"2.08",24500,"ccccrrrcrcrccrrtrrrcrcrtrcrrrcrtrrttrrtrtrttrrttt"
13,29,"2.23",27500,"cccrccrrrcrcrtrcrrcrtrrrcrcrtrrcrtrrrcrtrtrrrrttttrrttt"
14,30,"2.14",29000,"ccrcrcrcrcrtrrrrccrrtrtrcrtcrcrrcrrcrtrrcrtrtrrrrttrrttttt"
15,32,"2.13",31000,"ccccrccrrcrrrcrtrtcrrcrtrcrrrcrrccrrtrtrrrcrtrtrrtrrrttttrtrtt"
16,30,"1.88",31000,"cccrrcrtrtccrrrccrcrrtccrcrrrcccrrrtrrcrtrrttrrrrtttrrtttrtrtt"
17,35,"2.06",34500,"ccrccrrccrcccrcrcrrrrcrcrtrcrcrrrrcrtrtrrcrtrtrrrrttrtrrrttttrrrttttt"
18,37,"2.06",36500,"ctccrcccccrrcrcrrrccrrccrcrrrcrtrrcrtrtrrrrtrtrrrcrtrrttrtrtrrttrrrtttrtt"
19,41,"2.16",39500,"cccrcrcrrtcrcrtrrcrrrccrrtrccrrtcrrcrrcccrrrtrrrcrtrrcrtrtrrtrrrrttrrttttrtrttt"
20,42,"2.10",41000,"ctcccrcccrrrrcrtrtrcrrtcrccrrtrrrrcccrrrtrrcrccrrcrtrrrtrrcrtrrtrtrttrrtrttrtrrttt"
21,46,"2.19",44000,"cccrcrrcrtrcrtccrrrrcrcrrcrcrtcrrrtcrcrrrccrrrccrrtrrcrtrrtrcrtrtrrrrtrtrrrtrttttrttrttt"
22,52,"2.36",48000,"ccccrrcrrcrccrrcrcrtrcrrrrcrtrcrrrtrcrcrtccrrcrcrrrcrcrtrrrtrrrtrrcrtrtrrrtttrtrtrrtrrrtrttttrtt"
23,48,"2.09",47000,"ccccrcrrrcrccrcrcrrccrcrrcrtrrrcrcrcrcrcrrtccrrrcrtrrrcrtrtrtrrrrrrrrtrrrrttttrrrtttttttttrttt"
24,50,"2.08",49000,"ccrtccrccrrrcccrcrrcccrcrrrrcrcrtcrcrrrrccrcrrtrrrcrcrtrrtrrcrtrtrrrrrtrrtttrtrrtttrtrrtttrrtttrtt"
25,60,"2.40",55000,"ccccrrcccrcrrrrtcrcrcrcrcrcrtrrcrrrrrrccrrtrcrcrrccrrcrtrcrrcrtrrrrrrtrrcrtrtrtrrtrtrtrrtrtttrrttrtrtrrrrttttt"
26,59,"2.27",55500,"ccrccrccrrcrrcrcccrrrccrccrrrtrcrrrrccrrcrtrccrrrccrrcrtrrrrrrcrtrtrrcrtrtrrtrrtrrrtrttrrttrtttrrrrtttrttrrtttt"
27,64,"2.37",59000,"ccccrrcrcrcrccrcrrrttrcrrrrtrcrtrtrtrcrcrtrrrccrrrcrcrcccrrrtrrrrrcrtcrrcrcrtrrrtrcrrrcrtrrtrttrrttrrrtrtrtrttrrttrttt"
28,67,"2.39",61500,"ctcccrcrrccrcrrccrcrcrrtcrrrccrcrcrrtcrrrcrrcrtrcrtrrrcrtrcrrrrcrrcrcrtrrcrtrrrtrrrrrcrtrtrtrtrtrrrrrrtttttrrrtrttttrtrrttt"
29,67,"2.31",62500,"ccrcccrrrcrcrcrcrtcrrrcrrrrcrcccrrcrrccrrcrccrrtrrccrrrrrcrtrcrrrcrccrrtrrrcrtrtrrrtrrtrtrtttrrrtrrrtrtttrrrttrtrttrttttrtrtt"
30,69,"2.30",64500,"cccrcrcrccrcrrcrrcrtrcrcrtrrrrrcrcrcrrrtcrccrcrrcrtrrccrrrtrrrcrrtcrrcrcrrcccrrrrcrtrtrrtrrrrtrtrttrrrtrtrtrrtrrrttttrttttttrtrtt"
31,75,"2.42",68500,"ccrccrcrccrcccrrcrrcrrcrrccrccrrrcrcrtrrrrtccrrcrcrtrrrcrrrrrcrtrtrtcrrrrrcrtrcrtrrrrcrcrtrrrcrtrtrrtrrtrrtrrrrrttrttrttrrttrtttrttrttrtt"
32,74,"2.31",69000,"ccccccrrrcrcrcrrcrcrcccrrrrttrrrtrrrcrrtrcrccrrccrcrrtrrrcrrcccrcrrrtrtcrrrrrcrcrcrtcrrrrrcrtrrtrtrtrtrttrrtrrtrrttrrtttrtrrtrrttttrtrtrtt"
33,76,"2.30",71000,"ccrcrcrtcccrrrrrcccrrrcrcrcrcrtrrrrrcrcrcccrrrcrcrtrrrrcrrcrccrccrrrcrcrrcrtrrcrcrtrrrcrtrrttrrrrrrrrrtrttrtrtrttrrtrtrrtrttrttttrrttrtttttrtt"
34,80,"2.35",74000,"ctcccrrcrcrtrrcccrcrrcrrcrtrcrrrtccrcrrtrcrrcccccrcrrrrrtrcrtrrrrrrcrrtccrrrrcrcrtrccrrrcrtrrtrrrcrtrrtrtrrrcrtrtrtrrtrrtrtrtrrttttrrtrrttrrrttrtttt"
35,81,"2.31",75500,"ccrccrcrccrrrcrtrcrrcccccrrrrccrrrcrcrtcrrrrtcrrrrccrrrcccrrrcrrtcrcrccccrrrrcrtrrrrrrcrtrrrrcrtrtrrtrtrrrrtrtrtrttrttrtrtttrrttrrrtrttrtrtrtrrtrtrtttt"
36,76,"2.11",74000,"ctccrtcrcccrrccccrrcrcrrrccrrrtcccrrcrcrrcrcrrttcrrrcrcrcrcrrrrccrccrrrcrtrrcrrcrtrtrrrcrrtrrrcrtrrttrtrtrrrrttrrrrrrrrtrttttrtrttttttrrrrttrtttrttt"
37,80,"2.16",77000,"cccrcccccrcrccrcrrcrcrccrccrrrrcrcrcrrrrcrccrrcccrcrrrcrcrrccrcrrcrcrcrtrrrrtrrrrrrrcrtrtrrtrtrrrrtrrrrrrtttrrtttttrrttrtttttrtrrttrrtrrtttrtrtrrrtttrtrtt"
38,79,"2.08",77500,"cccrccrrccrrccccrcrcrrrcccrrcccrcrrrrrcrrttrrcrrrccrccrrcrcrrcrccrcccrrrrtccrrrrcrrtrrttrrrcrtrtrrrrtrtrrrttttrrtrttrtrrttttrtrrrrrrttrttttrtrrrttrtrttrttt"
39,91,"2.33",84500,"ccrccrccrccccrrrcrccrrrcrrcrccrrccrrrcrcrtcrrrcrcrcrrccrccrcrrrccrrtrrcrtrrrrccrrrrrrcrrrcrcrtrrtrrrrcrtrtrrrrtrtrtttrttrtrrrtrrttrrttrrtrttrrtrtrtrrrrttrrtttrtttrtttrtt"
40,101,"2.52",90500,"ccrcrcrcrccrrtrrcrccrcrcrcrrrrcrtcrcccrrcrcrrcrcrrcrtrcrrtrcrrcrrtrcrccrcrcrrtrrrtcrtrccrrrrcrtrrrrcrrcrrcrrcrtrtrrtrrtrrtrrrrrrrcrtrtrrrrtrttttrtrtrtrtrrtrrtrrrtrrrtttttrtttrtrtrtt"
41,92,"2.24",87000,"ccccrrcrrcccrrcrrtcrrcrccrrccrrtrcrcrrrccrcrrrccrccccrccrrcrcrrrcrrrrtrcrcrccrrtrrrtrrtcrcrrrrrrcrcrtrcrrrcrtrtrrtrtrrtrrrrttrttttrrrtttrrrrrttrrtrtrrrrttrtttttrtrtrttttrrttt"
42,91,"2.17",87500,"ctcccrcrcrccccrccrrrrccrrcrrcrrtcrtrcrcrrcrrcrrccrrrcrccccrrrccrcrcrrrcrtrcrccrrrcrrcrtrccrrrrtrrtrrrrcrrcrtrrtrrttrttrrrttrtrrrrttttrtrtrrttrrrrtrrrrrtrtrttrrrttttttrttttrttt"
43,95,"2.21",90500,"ccccrrcccccrcrrcrrrcrcccrrrcrrccrccccrrrrrrttrcrrtrttcrrcrcrrccrcrrrrrtrcrtrccrccrrrrrtrccccrrrrcrcrrccrrtrtrrrrtrtrrrtrrcrtrrttrrrtrrrrrttrtrtrttrttttrrtttrtrrrttrttrrtrtrttrtrtrtt"
44,98,"2.23",93000,"ctcccrrcrcccrrccrrcrrccccrcrcrrrrtrccrrrccrrrccrrtcrrcrccrcrcrcrcrrrccrccrcrcrrrcrtrccrrrcrtrrrrrrcrcrtrrrrrrrcrtrrttrrttrtrrtrtrrrttttrrttrrrttrrrtttrtrrrrrrttttttrrrrrttrrrtttttrtttrtt"
45,101,"2.24",95500,"ccrcrccrcrccrrrccrcrrtcrrrcrcrrttrrtcrccccrrrrccrrcrrcrcrccrccrrrcrrrrcrtcrrtrtcccrrccrcrrrrccrrrtccrrtrrrrrrrccrrrrrcrcrtrrtrtrtrrrrrrrtttrtrtrttrtttrtrtrrrttrttrtrrrttrrtrttrrtttrrttrttrttt"
46,115,"2.50",103500,"ccrcrtcrccrrcccrcrrcrcrrrtcccrrrtcrrcrcrrrtcrtccrrrrcrcrcrtcrrcrcrrrtrrrrrrrcrccrrccrcrrtrcrrrrcrcrcrrcrcrcrtrrrcrcrcrcrtrrrrrrrrtrrcrtrrtrrrcrtrrttrtrrtrtrrtrttrtrrrtrttttrrrtrrrttrrttttrtrtrtrrtrttrtrtrttt"
47,118,"2.51",106000,"cccccrccrccrrcrrccrrrrcrcrrcrtcrcrcrrtrccrrrrcrcrcrtcrcrrcrrrrtcrrrrcrcrtrrtrrrrccrrcrcrcrcrtrrccrrrrrtrrccrrcccrrcrrcrcrtrrrrcrtrrrtrrrttrrrtrrtrrrcrtrtrtrtrrttrrtrrtrrttttrtrrttrrrttrtrrtrttrttrrrttrrrtrtttrttt"
48,108,"2.25",102000,"cccccrrcccrcrrccrccrrrrccrrrrccrccrrrccrrtcrcrrrcrtcrccrcrcrrrrcrtrcrrrrccrccrrccrrrcrcccrrrtrrrcrrccrrcrtrcrrtrrrrrcrtrrrcrtrtrtrrrrttrttrrrttrrrrrrttrttrrrttttrrttrrrttttttrrrrrttrttrttrtrtrttrtrrrttttt"
49,124,"2.53",111000,"ccrccrrtcrccrrrccrccrrccrrrtrtrcrrcrrcrcrtcrccrrccrcrrcrcrcrrccrrcrrcrccrrtcrrrrcrccrrcrrcrtrcrrrrttcrccrrrrrcrtrtcrcrrcrrcrcrtrrtrrrrttrrrtrrrrrrtrrrrtrrrrrrcrtrtrrttrrrtttrtrtrtrrttrtrrtrrtttrtrrttrtrtrtrtrrttrrrtttrtrtt"
50,123,"2.46",111500,"ccccrrrcrcccrrrtrcrccrrcrcrcrrcrcrtccccrrrcrrrrrccrrtrcrcrrcrtcrrtrrrccccrcrrrcrcrcrccrrrrrrrrcrcrrccrrrtcrrcrtrcrrcrtrtrrrcrrrtrrrrcrcrtrrtrrcrtrrtrtrrtrtrrcrtrrtrttrtrrrrttrtrtrttrrrrrtrtrrttttttrttrrrtrtrrttrrtrtrtttrttt"
51,122,"2.39",112000,"cccccrccrrcrrrrtcrtrccrrcrtrrrcrtcrrccrrrrccrrccrrcrrttcrrrrrttrtcrrcrccrrrrcrtcrrrrcrtcrrtcccrrrcrrtrrcccrcrrcrrrttcrrrrrccrrcrcccrrrcrrcrcrcrtrrrtrrrrrrrrcrtrtrrrttrttrtrrtrrttrrrttrrrttrtrtttrrrtrrtttttrrttrtrrtrttrtrtrtt"
52,126,"2.42",115000,"ccrtccrrcrccrcrrcrtrrrcrcrcrtrcrccrrcrccrcrrrcrrrcrcrcccccrrcrrrrtrrcccrrrcrrcrtrcrcrrccrccrrcrrrcrtrcrrrrcrccrrcrcrcccrrrtrrrrrcrtrrtrtrrrrrrtrrrrrcrtrtrtrrttrtrrrtttrtrrrrrrrtrtrtrtrrtrtttrtrttttttrrrrttrtttrtrtrrtrrttrtrtrtrttt"
53,122,"2.30",114000,"ccrcrcrccrcrcccrrcrrrtcrrcrccrccrcrrrccrcrrrrttcrtrccrcrcrcrrrrrtrrccrrcrrcccrrrcrcrccrrrttrrccrrrcrrtccrrrcrrcrcrrrrtcrcrrcrcrtrcrcrrcrtrrrrtrrtrtrrrcrtrtrrrtttrrrrrttttrrrrtttttrrrrrttrrtrrrrtrttrrtrtrttrtttrtttttrtrtrrrrttttt"
54,131,"2.43",119500,"ccccrccrcrrcccrrrrrcccrccrrrrcrtrrccrrcrcrtrrccrcrrrrccrrtrrrrtcrcrcccrccrrrrtrrrrcrrtcrtrrcrcrcrccrcrrtrcrrcrrrrrrccrrcrtcrcrccrrrrcrcrrcrtrtrrrrrrrcrrtrrcrtrtrrttrrtrrrrttrttrrtttrrttrrrtrtrtrrttrttrrttrtrrtrrtrrtttttrrrttrrrtttrttrtrttt"
55,120,"2.18",115000,"ccrtccrcrrccccrrcrcccrrrrrcrtcrrcrccrcrrccrrrcccrcrrcccrrrrtcccccrcrcrcrcrrrcrrrcrrrccccrrcrcrrcrrrccrcrrcrccrrtrrrtrrtrrrrrcrrcrtrrrrcrtrrttrtrrtrttrrrrttrtrrrtttrrttrrrrrtrrtttrtrttrtrrtrtrrrrrttttttttrrrtrrrtrtttttrrrtttrtrtttt"
