n,score,ratio,iterations,moves
37,83,"2.24",100000,"ccrccrrccrrccrcrcrrtrrrtcrtrcrccrrrttrrrccrrrcccrrrtrtrcrrcrrcrrrcrtccrrrcrcrccrrcrccrrtrrrrrcrrtcccrrrcrrrtrrrtrtrttrrrttrtrtttttrrrrtrttrtrtrrttrtrtttrtrtt"
38,86,"2.26",100000,"ccccrcrrcrcrcrcrrcrtrtcrrrccrrrrcrrcrcrtcrrrcrrrccrrtrcrcccrcrcrrrtrrrtcrrrrcrrtrtcrcrcrrrcrcccrrrtrcrrccrrrtrttrrrttrrrrrtrrtrttrtrrrttrtrtrrrtttttttttrrtrtrtttt"
39,88,"2.26",100000,"cccrcrrcrtcrcrccrcccrrrrcrrcrtrccrrcrcrrrcrtrccrrtrcrcrrtccrrrcrccrcrrrrrrrcrrcrrttcrcrrcccrrrtrrrrrcrcrcrtrrrtrrtrttrrtrtrrttrtrrrtrrrrtrttttrtttrrtttrtrrrtttrtrtttt"
40,92,"2.30",100000,"cccccrcccrcrrrrrrcrcrtrccrrcrrtrccrccrrrtrrtcrrrcrtrccrrtcrrrcrrcrcrccrrtcrrcrccrrrrcrrrcrtrcrcrtrrrtrccrrrrrrrccrrrrrttrtttrrrttrttrtrrtrrtttrtrrtrrrtrrttttrttrrtrtrttrttt"
41,93,"2.27",100000,"ccrccrrtrcrcrccrrtrrrcrtrcrrtcrtrrcrrcrtcrcccccrrrrrrrtrttrrccrrtrrcrtrcrcrccrcrrtrrrrrcrccrrccccrrrrtrcrccrcrrrrrcrrttrcrrcrtrrtrtrttrrrrrttrtrtrtrrtttrtrrrrttrtrtrtttrrttttt"
42,96,"2.29",100000,"cccccccrcrrrrrccrcrccccrcrcrrrrrcrrcrcrtrrccrrcrcrtrrrrrrtrcrcrcrccrrcrcrcrtrcrcrrrccrcrrrcrrcrrrcrrtrcrtrrrcrtrtrtrrrrrrrtttrtrtrrrttttrtrrttrrttrttrtrrtrrtrrrttrtrrrttttrrttttttt"
43,99,"2.30",100000,"ccrcrcrcrtcrrrccrrrttcrrccrcrcrrcccrcrcrrrcrtrcrrrcrcrrtcrcrcrccrcrcrcrrcrcrrttcrrrrcccrrrcrrrcrrrrrrcccrrrtrtrtrcrrrrrcrtrtrtrtrrrrtrrrttttttrrrtrtrrtrtrrrtrrrrrtttttrtrttrtrttttrtrttt"
44,105,"2.39",100000,"cccrcrrccrrccrrcrccrrtrrrrcrcrtrcrcrcrcrrrrccrcrrtrccrrtcrrrcrtrrrccrrrttrrcrrttrrcrcrtcrrrrcrtcrrtrrccrrcrrrcrrrrcrrcrrttccrcrcrcrrrcrtrrrtrtrtrrrrrrtttrrttttrrttrrrtrrtrttrttrtttttrtrrrrttttt"
45,102,"2.27",100000,"cccrcrrcrcccrrcrrtcrrcrcrccrrcrccrrrcrtrcrrccrrrtccrrtcrrrccrrcrtcrccrrcrrrrrrrcccrcccrrrrrrcrrrrccrrtrccrrrccrrrrcrtrrttrtrrtrrrtrtrrrttrrtrrttrtrtrrrttrrtttrrttrrrttrtttrtrrttrtrtttrttrttrtt"
46,106,"2.30",100000,"cccrcrrtcrcrcrtrcrcrcrrccrcrcrrrrcrcrccrrcrtccrrrrrcrrtrcrtrrcrcrcrrtrcrrrrtttccrrtrcrrtrccrrrrrcrrrrtttcrcrtrrrcrccrrrrrccrcrcrrtrrtcrrrcrccrrtrrtrrtrttrrrtrtrrrrtrtrrtrrtrtttrttrtrtttrttrrrttttttt"
